facebook,paid_search,youtube,sales
129934.28306022465,123037.63173781945,95224.29371500228,0.0
117234.71397657631,132362.51342365867,94249.853888035,0.0
132953.77076201385,125065.47347387143,75952.20231291764,0.0
150460.5971281605,142760.45117365298,98693.76332645607,18115.78306679733
115316.93250553327,169929.4632865478,67648.75986635072,44033.82613502675
115317.26086101639,120723.94607146988,80187.23511359507,31923.53813282882
151584.25631014782,165020.51244421036,60013.68280653289,0.0
135348.69458305818,120458.19819132781,113379.39775444222,1199.5908371774076
110610.51228130097,118809.3196875779,86526.75759082056,13280.584165711334
130851.2008717193,160464.86545858032,122503.26052224467,6532.630776130504
110731.64614375075,163048.40945019043,102044.24889779242,5436.398058729062
110685.40492859486,161285.24841906637,96721.47320026536,0.0
124839.24543132068,107105.06479454647,81206.584585785,0.0
81734.39510684405,128351.22554819874,74304.7494646887,0.0
85501.64334973934,160574.71480008302,97844.57360845417,0.0
108754.24941518054,141038.54601409737,88927.28986090526,31312.430180674026
99743.37759331152,113157.67884506339,69910.94526772048,0.0
126284.94665190548,151457.94847813604,67247.12375237522,33311.53229646561
101839.51848957578,122129.81852521324,75619.44406284625,28641.54549633216
91753.92597329417,184863.1212098053,117314.50837899346,0.0
149312.9753784311,178621.03656045647,123199.16877016956,45890.87423582528
115484.47399026928,155102.43565888918,93074.83720963365,35377.0730945932
121350.56409375848,174025.16761924434,92234.14194361932,4917.614017608141
91505.03627573086,141619.7837530845,84955.19442255718,0.0
109112.34550949634,159135.93735937538,75982.71977535746,45666.80519869151
122218.45179419732,176943.00738255188,110627.68586410866,21686.67282246561
96980.12845155394,146137.46704485783,118103.64590845704,43919.26517500292
127513.96036691344,133620.32071214291,76598.71371241071,0.0
107987.2262016239,97384.4510455721,88757.42432363097,12838.540735383805
114166.12500413446,137921.66185696266,83252.00548934747,0.0
107965.86775541207,160585.5796140578,83696.41387702535,12168.528066302862
157045.56369017877,163640.83568919075,107788.62383144793,36463.787422170375
